status,local_id,local_brand,local_model,remote_brand,remote_model,category,detail_url
"unmatched_remote","","","","LG","WD221MCB","정수기","https://rentre.kr/product/1522013588/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%9D%BC%EC%9D%B4%ED%8A%B8%EC%98%A8-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","LG","WD524VCT","정수기","https://rentre.kr/product/1600004393/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0(%EC%9D%8C%EC%84%B1%EC%9D%B8%EC%8B%9D%2C-%EB%A7%9E%EC%B6%A4%EC%B6%9C%EC%88%98)"
"unmatched_remote","","","","현대큐밍","HQPI73CG0E","정수기","https://rentre.kr/product/1522013511/%EB%94%9C%EB%9D%BC%EC%9D%B4%ED%8A%B8-%EC%95%84%EC%9D%B4%EC%8A%A4-%EC%96%BC%EC%9D%8C-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0-(%EB%B0%94%EB%94%94%EC%83%89-%EC%84%A0%ED%83%9D%EA%B0%80%EB%8A%A5)"
"unmatched_remote","","","","코웨이","CPI-7400N_V2","정수기","https://rentre.kr/product/1522013569/%EC%95%84%EC%9D%B4%EC%BD%98-%EB%83%89%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","chungho-wi-80s9p510m","청호나이스","WI-80S9P510M","청호나이스","WI-80S9P510M","정수기","https://rentre.kr/product/1522012062/%EC%8A%88%ED%8D%BC%EC%95%84%EC%9D%B4%EC%8A%A4%ED%8A%B8%EB%A6%AC-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chp-3140n","코웨이","CHP-3140N","코웨이","CHP-3140N","정수기","https://rentre.kr/product/3260201/%EB%85%B8%EB%B8%94-%EB%B9%8C%ED%8A%B8%EC%9D%B8-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","쿠쿠","CP-ABSC100GP","정수기","https://rentre.kr/product/1522012083/%EC%9D%B8%EC%8A%A4%ED%93%A8%EC%96%B4-%EC%8A%A4%ED%8C%80100-%EB%B0%94%EB%A6%AC%EC%8A%A4%ED%83%80-%EB%83%89%EC%98%A8%EC%A0%95-%EC%BB%A4%ED%94%BC%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","LG","WD520MC","정수기","https://rentre.kr/product/1600008346/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0(%EB%9D%BC%EC%9D%B4%ED%8A%B8%EC%98%A8%2C-26%EB%85%84-%EC%B6%9C%EC%8B%9C)"
"unmatched_remote","","","","쿠쿠","CP-SS100HGM","정수기","https://rentre.kr/product/1522011095/%EC%9D%B8%EC%8A%A4%ED%93%A8%EC%96%B4-%EC%A0%9C%EB%A1%9C%EB%B0%B1-%EB%81%93%EC%9D%B8%EB%AC%BC-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","chungho-wi-36c90620n","청호나이스","WI-36C90620N","청호나이스","WI-36C90620N","정수기","https://rentre.kr/product/1522012478/%EB%89%B4%EC%95%84%EC%9D%B4%EC%8A%A4%ED%8A%B8%EB%A6%AC-%EC%A7%81%EC%88%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
